name;description
Web-программист;Отвечает за разработку интернет-ресурса. Это одно из главных лиц интернет-маркетинга, без его знаний и умений было бы невозможно воплотить в жизнь идеи создателей проекта. В отличие от маркетологов и дизайнеров, которые должны придумать, что должен представлять собой сайт, web-программисту необходимо продумать, как это можно осуществить и, собственно, воплотить идеи в жизнь.
SEO-специалист;Отвечает за оптимизацию сайта с целью его продвижения в поисковых системах. Результатом хорошей работы сеошника является высокое место в поисковой выдаче, рост количества внешних переходов, улучшение поведенческих факторов и всё то, что в конечном счёте приводит к росту прибыльности проекта за счёт продвижения в Сети.
SMM-специалист;Прикладывает усилия для раскрутки бренда или продукта в социальных сетях, привлекая различными средствами подписчиков и пассивных распространителей информации посредством репостов и лайков. Он же отвечает за активное взаимодействие с пользователями социалок.
Контент-менеджер;Редактор сайта в широком смысле, отвечающий за наполнение и информационную составляющую ресурса. Курирует работу копирайтеров, редакторов, корректоров, взаимодействует с дизайнерами и верстальщиками. В задачи контент-менеджера входит оперативное отслеживание изменений пользовательских интересов, а также новых веяний в информационном пространстве.
Копирайтер;Автор текстового контента, работающий в связке с контент-менеджером. Тексты должны отвечать ряду требований: соответствовать заданной тематике, характеру целевой аудитории, содержать ключевые фразы, быть уникальными и отвечать технических параметрам, установленным заказчиком.
Линкбилдер;Формирует ссылочный профиль сайта, отвечая за рост трафика.
Link-менеджер;Специализируется на покупке, продаже и обмене ссылками с целью эффективного продвижения интернет-ресурсов. 
Web-аналитик;Собирает и анализирует данные о поведении посетителей интернет-сайта, полученная с его помощью информация позволяет внести коррективы в работу ресурса с целью повышения эффективности продвижения. По сути, этот специалист оценивает качество действий SEO-специалиста и других участников команды, которые трудятся на благо владельца сайта.
Юзабилист;Делает жизнь пользователя на сайте максимально комфортной. С его помощью качество ресурса и отдача от его функционирования увеличиваются за счёт проработки наиболее удобного интерфейса.
Верстальщик;Воплощает в реальность идеи по внешнему гармоничному наполнению сайта контентом.
Модератор;Следит за корректным общением посетителей, соответствующим утверждённым правилам площадки или группы, отвечает за блокировку и разблокировку аккаунтов, удаление комментариев и постов, нарушающих правила взаимодействия между пользователями.
Таргетолог;Привлекает внимание пользователей к бренду или продукту с помощью грамотной настройки таргетинговой рекламы за счёт показа информации целевой аудитории.
Контекстолог;Специалист контекстной рекламы, работа которого основана на формировании семантического ядра, составлении рекламных объявлений и настройки кампании по продвижению.
IT-евангелист;Занимается активным продвижением IT-продуктов в широкие массы. Его задача - эффективное пропагандирование решений из мира информационных технологий с целью повсеместного внедрения их в нашу жизнь и создание. Такой проповедник религии IT.
Тимлид;Руководитель команды разработки IT-продукта. Взаимодействует с заказчиком и конечными исполнителями, являясь связующим звеном между ними. Отвечает за весь процесс разработки.
Front-end разработчик;Специализируется на разработке интерфейса пользователя. Продуктом его деятельности является та часть сайта, которую пользователи видят в браузере.
Back-end разработчик;Антипод front-end разработчика, занимается разработкой внутренней части сайта или приложения.
Embedded-программист;Осуществляет разработку, создание и внедрение ПО, включая тестирование на каждом этапе.
QA-инженер;Специалист, проводящий тестирование проекта на всём этапе его разработки с целью оперативного обнаружения ошибок и отклонений от заданного курса и своевременной корректировки процесса разработки.
Тестировщик программного обеспечения;Контролирует соответствие готового решения предварительному плану, проверяет качество продукта после реализации проекта.
Разработчик баз данных;Помимо непосредственно разработки, внедряет, обслуживает и модернизирует их.
Системный аналитик;Автоматизирует процессы, связанные с разработкой программного обеспечения с момента технической постановки задачи до устранения ошибок, выявленных в процессе тестирования на этапе разработки.
Гейм-девелопер;Гуру игрового мира. В его компетенцию входит разработка и создание игровой вселенной: написание кода, разработка визуальной составляющей, утверждение концепции, управление всем процессом создания игры и проч.
Программист;Разрабатывает программное обеспечение для операционных систем, которое отвечает определённым требованиям и задачам, установленным заказчиком. В зависимости от узкой специализации, используемых алгоритмов в работе и языка программирования выделяют программистов Ruby, Java, C#, 1C и т. д.
Android-разработчик;Ведает всей кухней приложений и ПО устройств на Android. Специалист осуществляет разработку, тестирование, внедрение, модернизацию, исправление ошибок, обновление продуктов.
iOS-разработчик;Разрабатывает, тестирует, внедряет, корректирует и обновляет ПО и приложения для гаджетов на платформе iOS.
Game-дизайнер;Держит ответ за всю внешнюю составляющую компьютерной игры. Удобный и функциональны интерфейс, уникальные персонажи, локации, артефакты - всё это создаёт гейм-дизайнер.
3D-аниматор;Создатель изображений (как статичных, так и динамичных) в технике 3D-анимации, который не только «рисует», но и оживляет 3D-мир.
Flash-аниматор;Художник, который «рисует» анимированные игры, ролики, заставки и другие объекты с помощью Macro Media Flash - программы для создания анимации.
Художник компьютерной графики;Занимается созданием изображений с использованием средств электронных графических редакторов.
Продуктовый дизайнер;Отвечает не только за красоту, но и удобство сайта, программы или приложения. Его задача заключается в том, чтобы продукт был привлекательным и функциональным одновременно.
Web-дизайнер;Художник интернет-проекта, отвечает за привлекательность его «интерьера». Работает в тесной связке с web-разработчиками и службами интернет-маркетинга. 
UX-дизайнер;Создаёт удобный для пользователей дизайн, упрощающий процесс использования сайта.
ERP-программист;Создаёт систему управления ресурсами компании, занимается её внедрением, модернизацией в соответствии с особенностями конкретного предприятия или бизнеса, следит за корректным функционированием. С помощью ERP-систем весь процесс взаимодействия между отделами и сотрудниками компании автоматизируется и объединяется в рамках единого решения. Зачастую ERP-программист выступает и в качестве ERP-консультанта, но изначально это разные специалисты.
Корпоративный архитектор;Разрабатывает структуру корпоративного ПО с момента проектирования до контроля процесса установки и эксплуатации. Специалист отвечает за полное соответствие готового продукта и его функционирования изначальному проектному плану.
Архитектор баз данных;Отвечает за выбор, внедрение и доработку программного продукта в соответствии с поставленной задачей, следит за выполнением процессов, связанных с функционированием баз данных, осуществляет планирование и контроль деятельности команды, работающей с БД. В его же обязанности входит обеспечение безопасности баз данных.
Администратор баз данных;Обслуживает эти самые базы и отвечает за их корректное наполнение и использование.
Администратор сайта;Ведёт оперативный контроль за работой ресурса, отслеживая возможные ошибки, сбои в системе, а также попытки кибератак, отвечая за безопасность сайта и его пользователей.
Специалист по кибербезопасности;Несёт ответственность за своевременное проведение профилактических мер по защите системы в целом и её отдельных продуктов или эффективное оперативное устранение последствий взлома.
Системный администратор;Отвечает за бесперебойную работу всех компьютеров и сетей, функционирующих внутри компании, своевременное обновление систем и установленного ПО.
Системный инженер;Разрабатывает системные решения, отвечает за их успешное внедрение, развитие, функционирование, а также проводит подготовку персонала для корректной и эффективной работы с системой.
Системный программист;Прописывает системный софт и занимается разработкой системного ПО.
